cur_index, vanilla, stacked, bidirectional, all_models, no_models
0,1000000.0,1000000.0,1000000.0,1000000.0,1003462.278873787
1,1000000.0,1000000.0,1000000.0,1000000.0,1002070.4448025604
2,994902.5161762886,998612.9682196039,998612.9682196039,998612.9682196039,998347.1461395235
3,994902.5161762886,994902.5161762886,994902.5161762886,994902.5161762886,996554.8238269124
4,994902.5161762886,993116.3779722472,993116.3779722472,993116.3779722472,994631.3808089374
5,994902.5161762886,995219.2447616014,995219.2447616014,995219.2447616014,998664.9713275259
6,997171.4453363831,997488.8962384169,997488.8962384169,997488.8962384169,1000942.4809707003
7,999335.7108591984,999653.85075814,999653.85075814,999653.85075814,1003114.9311667198
8,999335.7108591984,999653.85075814,999653.85075814,999653.85075814,1002349.1781032494
9,998572.8427587945,1006304.5423464698,1006304.5423464698,998890.7397976265,1009788.649304032
10,1007377.3669901757,1007698.0669614143,1007698.0669614143,1007698.0669614143,1011186.9986898109
11,1007377.3669901757,1011635.1595106839,1011635.1595106839,1007698.0669614143,1015137.7225514379
12,1011313.2065595014,1012699.7814755373,1012699.7814755373,1011635.1595106839,1016206.0305344289
13,1013994.0966640044,1014316.9030802413,1014316.9030802413,1014316.9030802413,1017828.7510651011
14,1013994.0966640044,1013579.5605568418,1014316.9030802413,1014316.9030802413,1017088.8556562602
15,1020121.3818479968,1013579.5605568418,1020446.1388939051,1020446.1388939051,1023979.208002435
16,1020121.3818479968,1013579.5605568418,1020446.1388939051,1020446.1388939051,1022480.4820518354
17,1018628.3023247126,1012096.0558347417,1018952.5840466997,1018952.5840466997,1020566.4047985291
18,1016721.4363284628,1011317.3216619126,1018168.5742749837,1017045.1109970356,1021693.75781965
19,1018775.7644648332,1012242.5723315446,1018168.5742749837,1018168.5742749837,1022628.5018543195
20,1018775.7644648332,1010310.44900988,1019100.0931315955,1019100.0931315955,1020676.5543351783
21,1016831.1708784013,1010310.44900988,1017154.8804811192,1017154.8804811192,1019911.2084788674
22,1016068.7084510102,1010310.44900988,1016392.1753227649,1016392.1753227649,1020121.3273731777
23,1016278.0357255692,1011530.6056276681,1016601.5692369499,1016601.5692369499,1021353.3326342943
